Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,163000.000000,167000.000000,162000.000000,166500.000000,164752.187500,192237
2018-01-17,165000.000000,169000.000000,163500.000000,168500.000000,166731.187500,235947
2018-01-18,166500.000000,169000.000000,166000.000000,166500.000000,164752.187500,236254
2018-01-19,166000.000000,170000.000000,164500.000000,167500.000000,165741.687500,252453
2018-01-22,169500.000000,169500.000000,163000.000000,164000.000000,162278.421875,184331
2018-01-23,163000.000000,169000.000000,163000.000000,167500.000000,165741.687500,198715
2018-01-24,166500.000000,168500.000000,165500.000000,167500.000000,165741.687500,139936
2018-01-25,166000.000000,169000.000000,165000.000000,165500.000000,163762.671875,157691
2018-01-26,165000.000000,176000.000000,165000.000000,175500.000000,173657.703125,635249
2018-01-29,175000.000000,175000.000000,171000.000000,172000.000000,170194.453125,238003
2018-01-30,173000.000000,175000.000000,170000.000000,170000.000000,168215.437500,172204
2018-01-31,169000.000000,174500.000000,168000.000000,174000.000000,172173.453125,200071
2018-02-01,173000.000000,178000.000000,172000.000000,173500.000000,171678.703125,174593
2018-02-02,173000.000000,174000.000000,168500.000000,169500.000000,167720.687500,163586
2018-02-05,165500.000000,168000.000000,160000.000000,161000.000000,159309.921875,257288
2018-02-06,154500.000000,157500.000000,149500.000000,153000.000000,151393.890625,459578
2018-02-07,153500.000000,154000.000000,140500.000000,140500.000000,139025.109375,1037686
2018-02-08,140500.000000,142000.000000,136000.000000,140500.000000,139025.109375,392298
2018-02-09,136000.000000,139500.000000,135000.000000,136000.000000,134572.359375,354694
2018-02-12,137500.000000,143500.000000,137000.000000,142500.000000,141004.109375,274326
2018-02-13,145500.000000,148000.000000,143500.000000,146000.000000,144467.375000,472444
2018-02-14,146000.000000,146500.000000,141500.000000,142500.000000,141004.109375,258855
2018-02-19,146500.000000,148500.000000,143500.000000,147500.000000,145951.640625,208728
2018-02-20,146500.000000,148000.000000,144000.000000,144000.000000,142488.390625,176958
2018-02-21,143500.000000,149500.000000,142500.000000,148500.000000,146941.140625,188547
2018-02-22,147500.000000,152500.000000,146000.000000,151500.000000,149909.640625,231471
2018-02-23,151500.000000,158000.000000,151500.000000,158000.000000,156341.421875,262177
2018-02-26,159000.000000,160000.000000,155000.000000,159000.000000,157330.906250,244569
2018-02-27,157000.000000,158500.000000,155000.000000,156000.000000,154362.406250,202309
2018-02-28,155000.000000,155500.000000,147000.000000,147500.000000,145951.640625,899146
2018-03-02,145000.000000,151500.000000,144500.000000,150000.000000,148425.390625,178473
2018-03-05,147500.000000,149000.000000,142500.000000,143000.000000,141498.875000,270337
2018-03-06,144000.000000,146500.000000,142500.000000,144000.000000,142488.390625,252933
2018-03-07,147000.000000,148500.000000,141500.000000,142000.000000,140509.375000,268632
2018-03-08,142000.000000,145500.000000,141500.000000,145000.000000,143477.875000,272121
2018-03-09,148000.000000,155000.000000,146500.000000,151500.000000,149909.640625,459122
2018-03-12,152500.000000,154500.000000,150000.000000,151500.000000,149909.640625,231306
2018-03-13,150500.000000,152000.000000,148000.000000,148500.000000,146941.140625,202796
2018-03-14,147000.000000,148500.000000,144500.000000,147000.000000,145456.890625,129347
2018-03-15,147500.000000,148500.000000,147000.000000,147500.000000,145951.640625,166750
2018-03-16,149500.000000,152500.000000,147500.000000,149500.000000,147930.640625,210624
2018-03-19,149500.000000,150500.000000,146000.000000,146000.000000,144467.375000,135759
2018-03-20,144500.000000,151000.000000,144000.000000,148000.000000,146446.375000,185968
2018-03-21,148000.000000,152000.000000,148000.000000,149000.000000,147435.890625,171749
2018-03-22,149500.000000,151500.000000,147500.000000,148000.000000,146446.375000,93791
2018-03-23,143500.000000,146000.000000,142500.000000,143000.000000,141498.875000,204733
2018-03-26,142500.000000,147000.000000,141000.000000,146000.000000,144467.375000,210746
2018-03-27,147500.000000,148000.000000,145000.000000,145500.000000,143972.640625,187474
2018-03-28,143500.000000,147000.000000,143500.000000,145000.000000,143477.875000,134381
2018-03-29,147000.000000,147500.000000,145000.000000,147000.000000,145456.890625,231934
2018-03-30,150000.000000,160500.000000,149500.000000,153000.000000,151393.890625,725123
2018-04-02,154500.000000,160500.000000,153000.000000,157500.000000,155846.656250,465021
2018-04-03,155000.000000,160000.000000,154500.000000,159000.000000,157330.906250,306607
2018-04-04,154500.000000,155500.000000,146000.000000,146500.000000,144962.125000,612059
2018-04-05,152500.000000,153000.000000,144500.000000,146500.000000,144962.125000,495606
2018-04-06,147000.000000,147000.000000,142000.000000,142500.000000,141004.109375,307450
2018-04-09,142000.000000,145500.000000,142000.000000,142500.000000,141004.109375,226812
2018-04-10,142000.000000,142500.000000,138000.000000,139000.000000,137540.859375,539097
2018-04-11,140000.000000,141000.000000,138500.000000,139000.000000,137540.859375,277581
2018-04-12,138500.000000,140000.000000,137000.000000,137500.000000,136056.609375,269038
2018-04-13,137500.000000,139500.000000,136500.000000,138500.000000,137046.125000,179732
2018-04-16,139500.000000,140000.000000,133000.000000,133500.000000,132098.593750,351512
2018-04-17,134500.000000,136500.000000,133500.000000,134000.000000,132593.343750,210004
2018-04-18,135000.000000,136000.000000,134500.000000,134500.000000,133088.109375,172263
2018-04-19,132500.000000,133000.000000,128500.000000,129500.000000,128140.585938,359780
2018-04-20,130000.000000,131000.000000,128500.000000,128500.000000,127151.085938,186533
2018-04-23,128000.000000,130000.000000,126000.000000,127500.000000,126161.578125,482895
2018-04-24,127500.000000,131500.000000,126500.000000,129500.000000,128140.585938,345125
2018-04-25,130500.000000,133500.000000,128500.000000,131000.000000,129624.843750,218142
2018-04-26,132500.000000,135000.000000,131000.000000,132000.000000,130614.343750,163482
2018-04-27,137000.000000,145500.000000,135500.000000,142000.000000,140509.375000,1015443
2018-04-30,145500.000000,148500.000000,143000.000000,147500.000000,145951.640625,555092
2018-05-02,144500.000000,149000.000000,143000.000000,148500.000000,146941.140625,375438
2018-05-03,149500.000000,149500.000000,142000.000000,143000.000000,141498.875000,331607
2018-05-04,141000.000000,143000.000000,135000.000000,136000.000000,134572.359375,337502
2018-05-08,135500.000000,136500.000000,132000.000000,134500.000000,133088.109375,253630
2018-05-09,134000.000000,137000.000000,132500.000000,135000.000000,133582.859375,308114
2018-05-10,135000.000000,140000.000000,135000.000000,140000.000000,138530.375000,251083
2018-05-11,140000.000000,141000.000000,136500.000000,140000.000000,138530.375000,146147
2018-05-14,140500.000000,143500.000000,138500.000000,143000.000000,141498.875000,216668
2018-05-15,142500.000000,144500.000000,139000.000000,139500.000000,138035.609375,200443
2018-05-16,139000.000000,143000.000000,137500.000000,141500.000000,140014.625000,147887
2018-05-17,141000.000000,141000.000000,138000.000000,140000.000000,138530.375000,121293
2018-05-18,139000.000000,140000.000000,137500.000000,139500.000000,138035.609375,89278
2018-05-21,141500.000000,144500.000000,140500.000000,141500.000000,140014.625000,198467
2018-05-23,141500.000000,146500.000000,141500.000000,145500.000000,143972.640625,344285
2018-05-24,145500.000000,149500.000000,142500.000000,147500.000000,145951.640625,363553
2018-05-25,148500.000000,150000.000000,146000.000000,150000.000000,148425.390625,260127
2018-05-28,150000.000000,155000.000000,148500.000000,151500.000000,149909.640625,338418
2018-05-29,156500.000000,161500.000000,154500.000000,158000.000000,156341.421875,831698
2018-05-30,160500.000000,165000.000000,155000.000000,157500.000000,155846.656250,559721
2018-05-31,161500.000000,161500.000000,152500.000000,157000.000000,155351.906250,402782
2018-06-01,157500.000000,160500.000000,153500.000000,154500.000000,152878.156250,238444
2018-06-04,161500.000000,161500.000000,156000.000000,157000.000000,155351.906250,399459
2018-06-05,156000.000000,156500.000000,150500.000000,152000.000000,150404.390625,244202
2018-06-07,150000.000000,154000.000000,148000.000000,154000.000000,152383.406250,288833
2018-06-08,152000.000000,154000.000000,150500.000000,151000.000000,149414.906250,138967
2018-06-11,150500.000000,153500.000000,149500.000000,151000.000000,149414.906250,184607
2018-06-12,151000.000000,153000.000000,150000.000000,151000.000000,149414.906250,130121
2018-06-14,152500.000000,153000.000000,150000.000000,152000.000000,150404.390625,192413
2018-06-15,152500.000000,152500.000000,148000.000000,149000.000000,147435.890625,190294
2018-06-18,147000.000000,150000.000000,146500.000000,148000.000000,146446.375000,157847
2018-06-19,146500.000000,150500.000000,146500.000000,149000.000000,147435.890625,172448
2018-06-20,148000.000000,149500.000000,141500.000000,148000.000000,146446.375000,310522
2018-06-21,146000.000000,153000.000000,146000.000000,150500.000000,148920.140625,171999
2018-06-22,149500.000000,156000.000000,149500.000000,155500.000000,153867.656250,262467
2018-06-25,155500.000000,158500.000000,153500.000000,154000.000000,152383.406250,224534
2018-06-26,153500.000000,158000.000000,152500.000000,158000.000000,156341.421875,212663
2018-06-27,158000.000000,159000.000000,155000.000000,158000.000000,156341.421875,169430
2018-06-28,158500.000000,159500.000000,153500.000000,154000.000000,152383.406250,197652
2018-06-29,157000.000000,157000.000000,151500.000000,152500.000000,150899.156250,183324
2018-07-02,151500.000000,152000.000000,148000.000000,149000.000000,147435.890625,154323
2018-07-03,151000.000000,153500.000000,149000.000000,153000.000000,151393.890625,179485
2018-07-04,152500.000000,159000.000000,152000.000000,158500.000000,156836.156250,220130
2018-07-05,158000.000000,158500.000000,153500.000000,155500.000000,153867.656250,157910
2018-07-06,154500.000000,156500.000000,150500.000000,156000.000000,154362.406250,186159
2018-07-09,156000.000000,160500.000000,156000.000000,160500.000000,158815.171875,240017
2018-07-10,161500.000000,164000.000000,161000.000000,163000.000000,161288.921875,205541
2018-07-11,160500.000000,163000.000000,158500.000000,162500.000000,160794.171875,164209
2018-07-12,162500.000000,167000.000000,160500.000000,166500.000000,164752.187500,321006
2018-07-13,164500.000000,167000.000000,158000.000000,159000.000000,157330.906250,292058
2018-07-16,155500.000000,156500.000000,148000.000000,150000.000000,148425.390625,486751
2018-07-17,149500.000000,150500.000000,146000.000000,149500.000000,147930.640625,174137
2018-07-18,149500.000000,151500.000000,148000.000000,148500.000000,146941.140625,127235
2018-07-19,148500.000000,150500.000000,145500.000000,146000.000000,144467.375000,129437
2018-07-20,147000.000000,149000.000000,146000.000000,146000.000000,144467.375000,99020
2018-07-23,146500.000000,148500.000000,146000.000000,148500.000000,146941.140625,113095
2018-07-24,149500.000000,151000.000000,146500.000000,147000.000000,145456.890625,113300
2018-07-25,147500.000000,149500.000000,147000.000000,149000.000000,147435.890625,96526
2018-07-26,150000.000000,150500.000000,148500.000000,150000.000000,148425.390625,81443
2018-07-27,151500.000000,151500.000000,146500.000000,146500.000000,144962.125000,132989
2018-07-30,144500.000000,146000.000000,140500.000000,141000.000000,139519.859375,252571
2018-07-31,141000.000000,147000.000000,140500.000000,144500.000000,142983.125000,170296
2018-08-01,146500.000000,149000.000000,145000.000000,145500.000000,143972.640625,126748
2018-08-02,145500.000000,146500.000000,141500.000000,142500.000000,141004.109375,136733
2018-08-03,142500.000000,143500.000000,142000.000000,143000.000000,141498.875000,80136
2018-08-06,142500.000000,145000.000000,142500.000000,144500.000000,142983.125000,90193
2018-08-07,143500.000000,144000.000000,142000.000000,143500.000000,141993.625000,78647
2018-08-08,142500.000000,143500.000000,140500.000000,142000.000000,140509.375000,164582
2018-08-09,130000.000000,130500.000000,122500.000000,126000.000000,124677.328125,1245103
2018-08-10,126500.000000,128500.000000,125000.000000,127000.000000,125666.828125,255849
2018-08-13,125000.000000,126000.000000,122000.000000,122500.000000,121214.070313,338008
2018-08-14,123500.000000,126500.000000,122500.000000,123500.000000,122203.570313,203431
2018-08-16,122000.000000,122000.000000,113000.000000,116000.000000,114782.296875,1068017
2018-08-17,117000.000000,120000.000000,117000.000000,119000.000000,117750.812500,294794
2018-08-20,120000.000000,120500.000000,116500.000000,117000.000000,115771.804688,394064
2018-08-21,118500.000000,124500.000000,118000.000000,123500.000000,122203.570313,398822
2018-08-22,123500.000000,123500.000000,119500.000000,120000.000000,118740.312500,185990
2018-08-23,120000.000000,124000.000000,120000.000000,122500.000000,121214.070313,191111
2018-08-24,122000.000000,124000.000000,120500.000000,123500.000000,122203.570313,153723
2018-08-27,125000.000000,127500.000000,122500.000000,122500.000000,121214.070313,214003
2018-08-28,122000.000000,122500.000000,118000.000000,118500.000000,117256.062500,322096
2018-08-29,118500.000000,122000.000000,118500.000000,120500.000000,119235.062500,205291
2018-08-30,121000.000000,121500.000000,119000.000000,120000.000000,118740.312500,148152
2018-08-31,117500.000000,118000.000000,114500.000000,116500.000000,115277.054688,437052
2018-09-03,116000.000000,118000.000000,114500.000000,116500.000000,115277.054688,227605
2018-09-04,117000.000000,119500.000000,116000.000000,119000.000000,117750.812500,271379
2018-09-05,119000.000000,119000.000000,115500.000000,116000.000000,114782.296875,187190
2018-09-06,116000.000000,116500.000000,113500.000000,114000.000000,112803.304688,249942
2018-09-07,115000.000000,117000.000000,112000.000000,113000.000000,111813.796875,438750
