Date,Open,High,Low,Close,Adj Close,Volume
2017-12-15,51240.000000,51480.000000,50520.000000,50620.000000,44097.460938,14928550
2017-12-18,50620.000000,51240.000000,50620.000000,51200.000000,44602.718750,7350250
2017-12-19,51540.000000,52080.000000,51520.000000,51560.000000,44916.335938,11978600
2017-12-21,51000.000000,51060.000000,49100.000000,49140.000000,42808.160156,15624300
2017-12-22,49400.000000,49960.000000,49240.000000,49700.000000,43296.003906,11199650
2017-12-26,49760.000000,50100.000000,48200.000000,48200.000000,41989.273438,16039850
2017-12-27,48960.000000,49560.000000,48460.000000,49360.000000,43386.867188,10743600
2017-12-28,49560.000000,50960.000000,49500.000000,50960.000000,44793.253906,8985450
2018-01-02,51380.000000,51400.000000,50780.000000,51020.000000,44845.988281,8474250
2018-01-03,52540.000000,52560.000000,51420.000000,51620.000000,45373.382813,10013500
2018-01-04,52120.000000,52180.000000,50640.000000,51080.000000,44898.726563,11695450
2018-01-05,51300.000000,52120.000000,51200.000000,52120.000000,45812.882813,9481150
2018-01-08,52400.000000,52520.000000,51500.000000,52020.000000,45724.976563,8383650
2018-01-09,51460.000000,51720.000000,49980.000000,50400.000000,44301.023438,18013600
2018-01-10,50500.000000,50520.000000,48640.000000,48840.000000,42929.796875,18566800
2018-01-11,48200.000000,49260.000000,48020.000000,48240.000000,42402.410156,25123800
2018-01-12,48240.000000,48480.000000,46760.000000,48200.000000,42367.238281,27270450
2018-01-15,48800.000000,48980.000000,47920.000000,48540.000000,42666.097656,10096000
2018-01-16,48760.000000,50140.000000,48620.000000,50000.000000,43949.421875,20389650
2018-01-17,50020.000000,50020.000000,49060.000000,49620.000000,43615.406250,11053050
2018-01-18,50020.000000,50640.000000,49820.000000,49900.000000,43861.523438,14848850
2018-01-19,50380.000000,50380.000000,49040.000000,49320.000000,43351.714844,9219950
2018-01-22,48640.000000,48680.000000,47960.000000,48240.000000,42402.410156,12520900
2018-01-23,48660.000000,49160.000000,48300.000000,49160.000000,43211.078125,13532700
2018-01-24,48860.000000,49700.000000,48560.000000,49340.000000,43369.292969,9550500
2018-01-25,49220.000000,50360.000000,49160.000000,50260.000000,44177.960938,11160350
2018-01-26,50500.000000,50780.000000,49840.000000,50780.000000,44635.035156,10350100
2018-01-29,51200.000000,51480.000000,50900.000000,51220.000000,45021.792969,11838800
2018-01-30,50440.000000,50640.000000,49780.000000,49800.000000,43773.628906,12284550
2018-01-31,50020.000000,54140.000000,49600.000000,49900.000000,43861.523438,64681300
2018-02-01,50620.000000,50960.000000,49720.000000,49820.000000,43791.207031,27609450
2018-02-02,49380.000000,49400.000000,47700.000000,47700.000000,41927.750000,29260350
2018-02-05,46500.000000,48320.000000,46000.000000,47920.000000,42121.128906,28357900
2018-02-06,46600.000000,47920.000000,46580.000000,47420.000000,41681.628906,19406450
2018-02-07,48240.000000,48260.000000,45800.000000,45800.000000,40257.667969,23448050
2018-02-08,46120.000000,46620.000000,45980.000000,46000.000000,40433.464844,23251050
2018-02-09,44440.000000,45180.000000,44420.000000,44700.000000,39290.785156,17465000
2018-02-12,45100.000000,46320.000000,45040.000000,45720.000000,40187.355469,15754950
2018-02-13,46200.000000,48060.000000,46200.000000,47540.000000,41787.117188,18923250
2018-02-14,48080.000000,49100.000000,47940.000000,49000.000000,43070.429688,18905900
2018-02-19,49800.000000,49800.000000,47860.000000,48380.000000,42525.464844,15353450
2018-02-20,48040.000000,48160.000000,47220.000000,47400.000000,41664.054688,10122600
2018-02-21,47280.000000,47580.000000,46840.000000,47280.000000,41558.574219,12880200
2018-02-22,47260.000000,47260.000000,46760.000000,46760.000000,41101.500000,8869950
2018-02-23,46760.000000,47800.000000,46760.000000,47220.000000,41505.835938,12423300
2018-02-26,47280.000000,47560.000000,47080.000000,47380.000000,41646.472656,9560650
2018-02-27,48360.000000,48380.000000,47380.000000,47380.000000,41646.472656,9830550
2018-02-28,47380.000000,48100.000000,47000.000000,47060.000000,41365.199219,15162350
2018-03-02,46580.000000,46800.000000,46000.000000,46020.000000,40451.042969,13265500
2018-03-05,45820.000000,46160.000000,45080.000000,45200.000000,39730.277344,14100950
2018-03-06,45920.000000,47100.000000,45820.000000,47020.000000,41330.039063,15423350
2018-03-07,48200.000000,48900.000000,47220.000000,48620.000000,42736.417969,21427050
2018-03-08,49200.000000,49480.000000,48080.000000,49200.000000,43246.234375,19463650
2018-03-09,49440.000000,50540.000000,49240.000000,49740.000000,43720.886719,14304400
2018-03-12,50560.000000,50780.000000,49580.000000,49740.000000,43720.886719,8688950
2018-03-13,50760.000000,51660.000000,50360.000000,51660.000000,45408.558594,20098700
2018-03-14,51020.000000,52000.000000,51000.000000,51760.000000,45496.445313,12713250
2018-03-15,52000.000000,52020.000000,51020.000000,51540.000000,45303.062500,8882450
2018-03-16,51220.000000,51420.000000,50240.000000,51140.000000,44951.464844,12184900
2018-03-19,50620.000000,51340.000000,50440.000000,50740.000000,44599.871094,8218850
2018-03-20,50700.000000,51200.000000,50100.000000,51200.000000,45004.207031,8193250
2018-03-21,51780.000000,51780.000000,51060.000000,51060.000000,44881.152344,8905200
2018-03-22,51060.000000,51780.000000,51040.000000,51780.000000,45514.023438,8454100
2018-03-23,50340.000000,50720.000000,49600.000000,49720.000000,43703.312500,14854950
2018-03-26,49420.000000,50280.000000,49040.000000,50280.000000,44195.542969,10057750
